8000 2000
2351 7473 11
2626 7888 31
4298 7236 11
3882 5038 27
3383 5522 90
5118 6954 93
2213 2679 58
7031 7565 23
2405 6616 56
6738 7898 96
4388 4859 40
468 5693 50
3182 4978 38
1535 4286 9
1722 3851 38
4510 4575 58
5316 6056 49
1865 7024 5
639 4043 9
7002 7682 8
3556 4144 14
2328 7841 37
5110 7877 42
2701 3085 56
3562 5222 74
2523 3457 53
3484 7097 16
2263 6791 94
2954 6907 83
3849 5136 5
4545 7191 5
33 3872 10
1398 4775 79
4610 5133 55
3092 7220 94
2222 4516 19
3755 3941 15
6141 6161 43
1306 4426 23
2700 6689 54
57 7927 95
564 3925 38
213 2251 84
1595 6403 27
5537 6154 57
302 3357 39
5999 7847 74
4920 5346 64
760 5721 51
3861 7959 87
862 5621 73
4768 6905 18
2305 7826 75
6896 7776 85
93 3028 94
1623 2098 26
3465 7855 74
1602 7022 29
7511 7997 2
1521 6785 73
2830 7718 16
1602 7003 22
1610 7175 28
1194 7150 77
2518 3957 20
613 1140 15
2251 2952 60
2650 2797 95
6219 6491 52
965 6226 47
4445 4656 4
4831 6828 73
5910 6729 41
2490 3696 89
3339 3424 90
750 4655 4
2889 6485 89
1847 7656 47
371 7352 92
1099 3458 8
1319 7363 92
5200 7028 43
2471 4036 81
3246 7223 49
510 3408 33
389 688 61
1484 7378 97
3026 4696 91
1289 4112 90
374 2767 36
5614 7421 41
1546 6032 50
2826 7513 41
2262 7929 55
634 5433 33
3940 4147 47
2124 5109 47
397 1184 100
2526 5635 63
2021 4934 74
5476 6145 85
3447 5090 8
65 7936 73
6207 6374 68
1877 3776 65
281 4573 30
1569 3143 63
340 774 15
2187 2787 22
1588 2791 42
1227 7895 35
1436 5571 5
5862 7296 21
4812 7688 22
2550 7442 53
5354 5883 62
2497 3359 86
3543 7829 16
4271 4751 43
990 2995 26
2005 5007 19
6958 6997 83
6172 6431 29
6888 7608 2
656 4180 36
1974 4419 48
1216 5539 14
3096 3331 32
999 3381 27
2771 5802 26
4886 4929 85
3098 3267 6
1983 6855 26
1378 2599 81
924 3591 68
4031 5959 56
2725 4717 92
582 1889 52
4287 6657 11
2754 6855 54
6448 7499 12
4301 5408 30
2127 4245 39
2829 5812 64
2963 3739 38
587 2899 87
4119 6242 77
1815 3460 13
619 4491 45
2594 4984 65
89 4228 14
3122 7876 55
305 7827 77
1503 2184 18
6383 7082 98
3567 6441 61
2139 3615 26
937 7991 41
3068 4670 27
1804 1927 49
1978 2807 21
5216 7641 40
3916 5639 60
3352 3877 33
822 5991 48
2541 2689 40
2309 5693 58
6335 6476 92
2031 5494 5
2541 6217 76
3086 5221 50
2261 6043 97
5010 5801 96
2572 3350 5
6114 6976 64
3184 5639 43
369 7834 50
4535 5330 35
5393 6152 85
3716 5698 10
501 1911 10
1580 2057 6
2915 3163 41
1976 7456 39
7150 7328 67
69 7481 64
5576 6776 84
2009 6334 7
5756 6128 88
3463 4447 74
356 4076 15
3853 6563 73
1577 5390 37
1282 3797 30
4460 6370 29
3789 5582 68
5406 6979 77
4958 6232 48
2664 5823 9
6566 7475 100
3843 7607 29
4757 5742 34
1046 1105 28
4413 4444 70
663 5136 81
2468 3260 22
7207 7957 91
429 3100 40
1972 7481 6
4457 5491 10
3231 4240 84
6336 7236 16
4052 5524 1
5590 6188 86
3190 5232 61
1824 4681 57
1961 5025 70
2947 7596 14
7076 7537 47
4958 7024 99
2203 6255 49
2851 6916 51
1345 2246 42
2002 7352 20
951 7121 74
3113 6243 82
2028 6326 40
6419 7544 67
3518 5305 95
3004 6727 100
1343 2561 96
1866 4244 17
5524 6544 80
4578 5916 40
3969 4035 100
4896 5456 51
7207 7864 39
3482 7859 20
5248 5955 52
330 2850 35
3995 7593 66
4412 4418 3
4287 7677 72
669 6049 72
6023 7345 66
3738 5967 20
2871 6703 52
1005 2840 53
2 4166 38
3470 6198 3
1951 6289 34
2424 4256 31
1788 3420 65
5091 6987 9
4753 7934 96
2655 7399 70
561 1506 13
3636 5721 45
4584 4622 1
1306 3209 45
273 2618 45
1296 7173 6
2851 7607 100
2395 6279 46
3994 7122 6
1918 4217 13
2091 6354 28
1022 3669 86
2791 7705 86
6082 7156 25
5837 7425 6
5062 7139 70
1820 4277 37
4230 7754 98
117 991 3
3183 7284 42
4975 5753 69
636 1737 54
93 5247 9
3873 5045 27
1643 7977 46
671 2726 47
358 3483 95
5257 7112 29
659 7168 16
5401 6468 74
2893 6227 99
288 1260 8
798 7255 78
5723 6823 1
3346 6479 4
3341 5208 76
2351 4110 59
2375 6532 93
2915 6343 88
840 7174 83
674 3743 86
1912 2249 63
140 352 90
1915 3925 64
3193 6200 46
2825 4000 48
3782 5249 61
2992 7002 51
832 6448 20
2152 3513 20
1069 5311 3
421 2945 74
1209 7407 31
4243 7202 19
1407 3933 49
2658 2765 84
3233 4480 83
2222 7257 76
6282 7051 8
3208 3611 61
1034 3941 94
240 4465 43
3943 6186 96
4739 7928 77
3849 4948 72
1162 4163 90
5671 6877 85
7051 7084 74
3891 4391 25
4006 6137 9
4534 7864 88
1074 1382 12
1447 3586 13
5931 7216 78
5807 7207 100
1066 4833 36
2666 6435 67
2670 3424 12
1057 7828 66
1524 4634 61
6038 6799 99
1075 4836 100
3878 7513 66
4183 5878 12
4410 5629 11
1839 4488 79
101 6033 15
3754 6776 87
2194 2629 9
69 3481 3
628 7554 43
5764 6615 5
1364 5391 3
4 653 96
1901 4349 57
3086 3170 81
1295 5884 88
6041 7883 43
4772 6107 20
3338 4346 24
2112 3604 83
1050 2829 94
2733 5000 73
3889 5492 98
3993 4134 90
1305 5335 99
349 7681 44
3180 7953 17
1318 2309 61
36 937 43
6084 7201 40
4371 7385 8
3974 7994 45
3294 5687 8
5540 6021 61
739 4358 55
1994 3731 92
4986 5399 34
4651 5510 84
5568 6280 5
3668 3959 19
2806 3120 19
134 6630 34
799 843 67
77 3916 44
1567 2790 17
1081 1172 41
2653 3301 8
353 4992 61
1814 5945 13
1865 5935 48
3727 7084 33
808 1755 14
4649 6270 96
1486 6878 30
50 186 76
1985 4880 26
655 6859 62
3321 7486 35
2706 6822 50
2359 6054 49
687 4060 12
500 1083 15
1590 4744 37
1996 5467 23
4080 6709 65
3613 5065 72
5786 6153 60
5072 7984 9
1328 6657 12
4036 5397 15
1633 3929 80
232 4333 86
2821 3047 97
1031 7271 54
1485 2642 17
2953 4913 28
576 6865 79
4672 5320 29
2484 4690 59
5820 7876 77
2927 7133 16
1640 1715 83
3479 6953 99
2304 6992 44
5164 7390 10
317 7755 88
3891 6129 22
1495 4514 69
4788 6288 54
442 5043 17
578 6141 44
5207 5848 90
913 4021 7
962 1232 88
20 6768 59
1432 6153 57
2232 4829 57
1195 6245 39
1242 6113 11
1029 2796 15
6511 7239 1
5034 5407 60
131 4040 34
5682 6935 90
197 5871 92
4288 4993 87
601 5721 65
2956 7526 18
2729 3569 48
4333 5632 32
939 6252 29
2027 6138 62
2944 7549 78
375 6176 91
4464 6529 28
6664 7063 11
3950 3980 14
3070 3678 34
3350 4679 69
917 6487 95
1752 3754 36
4581 7986 98
2053 7702 71
2558 2768 92
7680 7834 7
2614 4623 59
939 6087 22
2663 5998 98
1559 6397 24
920 1369 90
1761 7286 20
3354 3634 11
2062 4475 41
2737 7911 36
2600 3222 78
3630 6865 42
679 4995 46
312 4473 97
49 3423 59
5213 6481 96
3043 5481 33
598 6931 42
1018 2635 15
567 3797 16
673 2917 78
2910 4232 78
301 5905 21
5492 5950 34
4279 6864 11
5096 5631 36
1286 6926 67
3249 7896 55
2207 2332 55
841 5200 38
3648 4508 50
2819 3978 83
419 3507 86
7056 7626 94
4906 6926 35
5579 7779 91
4455 7946 61
1499 6318 21
996 5656 42
5855 6953 62
721 7554 100
1751 3862 70
2825 7259 89
2309 4144 79
2723 3364 71
4943 7388 56
5075 5649 85
1057 1961 98
494 4346 3
1537 7966 40
4847 7750 59
7400 7912 4
1858 4172 62
2209 4612 30
375 3297 86
1879 7182 41
756 3944 41
2938 4094 63
2736 7157 79
983 6681 58
510 5889 39
2259 7732 53
7036 7584 27
851 6031 51
661 1623 7
5310 6845 79
5709 6114 65
5384 6733 15
351 2886 53
419 7954 67
2621 4986 30
3815 6176 46
931 6395 98
460 5227 71
2975 4155 21
4063 5061 61
161 3938 68
2727 3206 20
1786 6870 9
5174 7320 50
4551 5598 16
1242 6118 70
1081 3136 79
5159 7987 66
3267 3486 42
4080 4302 56
1855 5655 87
4761 6169 12
1479 5080 92
4302 5586 35
2477 6209 14
6739 7803 59
3084 4215 50
1033 6110 27
3060 6124 48
6110 6880 89
5286 6470 54
278 1204 30
4231 6367 16
5481 6034 68
1393 7423 95
2033 3198 74
3038 5920 52
155 5447 41
1650 4218 27
329 7447 6
2541 6660 96
6264 6293 47
1080 1305 45
1109 2298 9
1064 2775 56
2451 6155 58
4526 6153 58
4194 7282 74
5653 7141 34
5733 6098 94
930 6057 71
3595 4638 56
3712 5492 79
4522 7302 24
161 3939 21
649 5852 54
2698 4783 66
2142 3616 51
5712 7880 89
7683 7697 100
1609 7520 74
3730 7862 59
3850 7662 15
3789 6283 58
358 7839 32
2847 3603 99
933 7210 20
1102 2088 53
145 5649 44
5940 6863 42
1996 2249 19
2626 6167 99
2765 3483 10
14 557 66
509 810 85
615 7831 74
2195 3861 62
1441 3224 88
2530 7948 75
184 5479 19
137 3336 17
2701 7670 35
939 1522 49
723 7668 70
1238 4882 91
6096 7775 63
3949 7495 82
2820 7106 51
1872 5734 25
1295 1708 94
5918 6242 63
4850 7773 3
4602 6952 45
1983 7575 91
181 7632 34
4377 5166 47
886 5763 54
3780 5869 63
4697 6591 59
3585 6753 47
4172 6273 26
3869 5997 1
626 7353 6
553 1440 19
624 3025 29
653 2412 61
4013 6855 68
1409 7155 41
95 787 59
5859 6313 22
7579 7970 9
1095 7116 94
149 3107 43
1588 4435 98
1244 4779 11
4666 7107 62
5608 5624 31
1435 4092 31
372 1613 12
588 2585 51
353 1412 46
936 3243 59
2497 7577 77
1482 3865 30
516 3044 32
2212 2366 8
2293 2721 75
2833 7250 18
5648 7564 68
6455 7654 22
3229 7690 41
1264 5227 81
2003 3993 57
4437 7013 47
2941 5816 28
2490 4400 97
4620 6190 19
2599 5633 86
2671 7159 83
3438 7711 24
754 5396 42
4536 7229 91
2233 6168 82
122 7893 85
2839 3638 60
4657 7438 98
2799 4761 93
3072 7421 32
2355 4077 51
4640 6001 27
5878 7715 87
4663 7570 72
332 1344 94
3535 5765 63
1735 1963 22
1367 5712 35
1175 4334 45
2214 3372 98
4115 6334 50
1419 2115 10
3558 6783 61
1791 5675 49
3401 5432 93
810 1374 100
4550 6430 54
5749 6162 50
1896 2741 29
5606 6851 94
5708 6858 35
2722 5266 27
4248 7880 46
6170 7934 21
1960 4734 24
4809 6977 79
193 5972 92
4441 4569 99
998 3950 12
578 7701 49
2470 4819 76
462 5948 19
539 1840 66
861 2889 75
223 4333 7
3188 7573 41
1154 5317 35
1816 3250 98
4052 7214 24
6376 7564 43
1484 4534 14
348 7566 97
2535 5220 67
2423 6327 68
6392 6768 66
364 1874 52
1436 6215 32
1258 5834 22
3055 5865 93
1329 6490 96
1084 6711 69
2174 3919 85
2979 5166 58
5933 6123 12
5779 7218 52
4948 5851 30
288 1886 61
1973 2898 66
1957 4938 97
2719 5084 21
763 4547 8
4376 7940 36
783 3195 68
1337 4288 73
1337 7996 54
685 5746 75
1104 1827 24
3324 7496 79
1014 1372 80
3111 5784 19
3400 3410 67
1893 4116 79
2580 3141 32
1402 6143 13
1679 7998 34
5423 7765 19
180 2681 57
1621 7250 30
3060 4095 45
1053 5187 68
2670 5687 34
1826 4709 83
4475 4939 1
2663 7134 46
285 3681 94
1058 5359 70
86 3261 5
1490 3689 100
1960 2871 65
1146 2593 41
1224 1478 15
2268 3008 78
272 6910 63
404 6483 54
5666 7127 48
1889 4147 25
1396 7399 1
6256 6811 91
1935 5763 51
2442 6304 17
4446 6684 97
3556 7217 83
2900 4065 76
643 2704 81
2038 6908 34
5015 5730 3
520 6081 31
1505 4543 71
5247 5482 89
365 2559 59
1648 3058 5
2185 3434 46
7237 7615 64
1802 2452 49
213 6495 71
6857 7618 58
1027 5255 21
430 4774 13
1526 5411 67
1390 6377 43
1014 5552 48
1499 1920 94
2158 2740 17
2325 4185 19
2587 2635 33
6049 6473 69
90 3688 69
1368 2209 70
1459 4111 60
1063 2768 72
5974 6260 42
4003 7372 28
5607 5728 35
2046 7921 74
6154 7246 34
3847 7807 82
4300 4574 82
2221 7937 78
1534 7568 47
557 7690 57
2853 7079 86
299 7779 21
3033 7150 52
1855 7213 68
761 2479 28
394 6912 61
4489 4603 48
3097 5311 16
3813 5188 35
3237 4451 9
6571 7147 11
1949 7729 39
4684 6589 49
7090 7473 87
4833 5926 66
3698 4105 19
1071 3586 74
1874 3987 78
4145 7355 6
1748 3604 57
2147 7288 50
4288 6384 60
65 3980 78
3074 6698 39
127 3326 21
5306 6087 87
1404 5492 2
1832 7891 98
5165 6591 62
2671 4647 1
2263 3888 28
1083 1412 72
1322 1662 81
4230 5619 82
4001 6373 37
5761 7142 85
4106 6386 22
4598 6140 76
3153 5031 5
1110 1460 61
1459 1914 58
589 5598 89
4073 5497 44
2514 6696 56
1205 7395 41
1260 5651 51
3215 6130 32
4253 5015 90
4019 7760 3
3218 6920 20
2387 2570 16
4136 5565 34
1017 2146 17
3314 4632 25
1571 2901 16
4356 4918 6
5040 7736 15
594 1195 23
1936 3605 68
3277 7237 20
5027 6847 23
1592 5359 34
2705 4435 3
4896 6789 45
2922 3778 93
1174 2019 47
5006 6922 88
1171 6329 91
6305 7958 26
986 4402 28
2660 5115 40
2013 6223 44
4674 5882 52
2525 7354 6
3085 4107 55
4311 5327 98
1664 6576 60
3049 5533 10
670 5274 70
6010 6110 73
7314 7569 15
3173 5608 72
241 5734 2
1571 4743 50
3288 7018 11
2361 3831 98
3936 5553 22
2282 2599 70
2948 7323 41
686 7866 50
5144 5988 19
908 5500 38
1138 3289 9
2677 7402 4
332 2213 44
3491 6519 79
1394 5552 6
2912 5370 51
2735 7632 90
3368 3563 37
215 2560 96
3513 7169 83
2174 5969 58
3656 5846 38
3951 7381 64
2359 4569 55
3010 4409 67
249 1971 80
5183 7876 38
1864 6235 36
7212 7286 92
832 6813 27
1870 2062 18
4327 7878 86
3819 6567 29
4848 6179 15
645 2883 89
3042 5907 63
590 6108 5
4045 5415 38
958 5908 72
6129 6731 99
4436 6584 79
1545 3921 15
1222 3285 79
6 2763 88
5822 6469 28
6031 6033 18
2445 4629 52
1578 3949 59
4534 6108 79
2992 5770 30
2757 5787 39
662 7752 63
485 4338 76
1008 3565 29
618 2841 58
4081 6114 57
2438 3999 94
6378 6897 32
3839 6277 90
890 2770 74
869 2132 57
6459 6588 53
757 7711 81
3868 5104 34
6088 6595 48
3063 3894 70
2945 7293 95
4297 7369 17
1479 7808 66
773 6210 19
1168 4211 39
5171 6896 39
3587 5421 46
595 7968 34
5494 5969 43
3219 4692 60
1675 2487 33
3833 7147 67
146 927 32
249 7762 35
647 2508 66
3776 6180 95
5062 7940 20
5183 6711 54
4475 4631 40
3119 7678 92
2358 6261 67
3353 4653 12
3897 4267 48
3218 4741 72
4559 7760 61
1881 6598 58
6024 7602 83
7070 7251 70
3382 4355 15
105 4099 71
92 3625 24
3934 6828 62
2631 4160 52
519 7001 74
2671 2975 27
4362 4939 60
709 3591 3
5356 5919 10
3706 6451 49
5757 6103 97
3384 5080 99
1088 5191 98
393 1440 64
1972 3796 49
3034 3510 33
2367 4805 47
1383 6858 64
1059 3202 1
673 2102 31
5615 7923 15
6131 7742 84
144 7126 44
4072 6529 78
1839 4719 39
2499 3301 30
6747 6881 10
4173 6037 23
271 7875 86
180 4174 5
192 1224 22
619 2719 52
4789 6483 69
4186 5680 69
4690 7684 69
5990 7235 70
481 4081 92
7047 7658 22
173 7167 85
6586 7145 42
2689 3406 43
6882 7514 66
5740 7010 46
1497 2030 68
67 958 69
1863 6897 86
5395 7484 93
4401 5040 99
3090 6695 46
326 6705 40
7071 7219 70
2928 3752 96
4860 6118 22
4436 7012 74
1963 5119 4
296 6246 43
11 1130 19
874 2557 35
3496 7640 76
3482 6590 40
2293 6812 93
6655 7923 27
2989 4099 34
2531 3717 56
2969 7708 74
82 4595 22
4795 7825 2
2809 6391 99
1321 2851 49
1553 7536 29
1347 1377 63
3559 6752 58
51 7613 7
3479 5114 97
1363 7315 46
236 6454 73
1372 4801 60
3047 7259 29
809 4229 46
5911 6807 51
3414 6051 32
385 7380 82
1222 2067 39
2440 7132 91
764 1021 36
3151 7049 20
4003 6199 17
4173 4681 19
2325 5913 56
5966 6959 4
3185 4313 27
5679 7608 20
2251 6008 31
2600 6875 37
5983 7559 53
809 1203 56
1347 2842 12
2749 5140 3
4048 5754 84
2312 3040 76
1149 5534 35
1022 2230 26
5558 7213 93
733 5748 42
4255 6714 66
472 3851 57
708 5052 89
5681 6571 8
1018 2382 2
432 1079 3
2467 4096 68
4283 4810 84
2132 2579 51
2507 2840 40
2867 4394 60
924 5724 51
671 4737 27
314 986 60
2600 3114 69
7541 7996 33
39 6418 34
84 3379 61
6095 6419 79
2251 5326 46
2262 3848 96
277 5394 23
3568 7766 96
5704 6756 79
184 6234 47
1712 6247 53
566 4190 25
4062 6403 48
1143 2275 97
1430 4606 92
3299 6820 80
2782 3381 67
4008 5108 71
5953 6451 15
2075 5990 36
556 3035 47
934 7697 72
4833 7344 66
318 6561 60
72 6765 94
3959 4807 65
270 6494 72
125 7309 53
3505 7996 89
2779 7727 37
5268 6986 4
782 2760 51
2971 4815 37
3333 5584 60
5112 5301 17
3721 4248 8
636 1863 51
2420 6585 20
3071 4658 81
744 981 62
1144 1722 1
2278 7360 21
208 2877 40
5640 7992 63
7569 7839 45
1385 6331 96
4609 6682 74
3623 3983 11
1208 1647 79
1175 2231 31
1355 4853 70
6693 6990 1
3135 4499 7
4066 5204 47
2620 5488 84
948 2863 53
1976 6685 73
5964 6625 58
553 3338 66
3026 7607 90
922 3163 57
1756 2604 53
1624 6198 15
4552 6092 36
5791 7999 23
1815 7021 50
1151 1639 56
303 396 38
7370 7974 99
4206 5326 40
678 1230 31
7051 7753 59
630 900 7
5362 5680 80
182 4269 7
19 2748 95
5678 5680 81
6344 7682 70
1263 2915 22
2015 6180 62
4079 4405 24
4151 6494 41
4365 7878 7
3087 6410 92
3482 4628 52
7595 7602 96
2442 6736 23
554 1278 4
4339 6528 66
4835 4971 80
1303 4389 79
4656 5910 91
3137 6713 14
2005 4970 50
207 7491 92
1827 2352 59
2598 3274 88
4919 6861 86
7194 7363 87
1258 5930 45
254 2248 74
5103 7199 50
3004 4188 41
3812 7348 24
4309 5824 8
4411 7691 24
2896 5641 98
1036 4901 94
3026 6372 45
1537 1774 9
5207 7262 99
6797 7750 94
5826 7156 30
5480 7592 59
915 6358 42
6148 6319 99
4681 6232 89
5249 7960 53
3131 7587 33
2549 4246 44
4137 5727 72
220 4216 1
5518 5914 38
5007 7401 99
5903 6158 86
3097 4216 23
368 2978 1
4233 5761 73
269 7847 51
917 3926 26
410 3519 30
1951 2327 97
472 1703 27
2477 6503 40
410 3594 91
1410 5440 9
5500 7989 12
3199 7063 11
4675 6795 10
1757 7078 50
2323 4082 85
6366 7024 91
1936 3901 88
647 2600 90
1861 2352 43
1078 7957 26
2969 3952 53
2770 3593 13
137 4065 100
3672 5053 44
1537 6870 24
2995 7034 81
835 7893 87
1663 7347 73
1306 5635 20
4672 7462 20
1962 4514 79
3768 5466 61
3451 6686 33
1549 6458 45
1994 6456 76
736 7029 43
425 993 4
2332 7457 14
4170 4377 87
361 4580 77
2113 2898 89
2857 7473 88
2486 4181 23
2404 3458 87
2584 2671 27
4920 7254 100
1261 5265 68
1324 4320 18
391 2639 83
3175 3425 47
1730 7635 13
1196 7267 49
1473 6694 51
